No,X投稿文,
1,うちの子に薬を選ぶとき、正直何を信じればいいかわからなかった。調べれば調べるほど迷う。そんなとき「成分で選ぶ」という視点に出会って、ようやく霧が晴れた気がした。 #ペット #犬のいる暮らし #猫のいる暮らし,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_01
2,猫がトイレでうずくまっていた朝のこと、今でも忘れられない。血尿って、あんなに小さな体に起きるんだと。早期発見が本当に大事だと痛感した出来事だった。 #猫 #猫の健康 #猫のいる暮らし,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_02
3,猫の下痢、最初は「まあ大丈夫かな」と思って様子見してしまった。でも続くようなら原因を調べることが大事。食事なのかストレスなのか、ちゃんと向き合うようになってから変わった。 #猫 #猫の病気 #猫のいる暮らし,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_03
4,猫が具合悪そうにしてるのに、何の病気かわからないのが一番つらい。症状から逆引きできる知識を持っておくだけで、焦り方が全然違う。 #猫 #猫の健康 #猫好きさんと繋がりたい,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_04
5,猫が耳をしきりに掻いていて、よく見たら耳の中が黒っぽい。耳ダニだと知ったのはそれからしばらく後。もっと早く気づいてあげれば良かったと思う。 #猫 #猫の病気 #猫のいる暮らし,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_05
6,猫が水をよく飲むようになったな、と気づいたのは水入れがすぐ空になるから。多飲って腎臓や糖尿病のサインのことがある。気づいてあげられて良かった。 #猫 #猫の健康 #猫好きさんと繋がりたい,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_06
7,猫の目やにって毎日拭いてあげてるけど、量が多い日は少し心配になる。色や量で意味が変わるって知ってから、ちゃんと観察するようになった。 #猫 #猫のいる暮らし #猫好きさんと繋がりたい,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_07
8,猫用のノミ薬、種類が多すぎて選べなかった。スポットオン・首輪・経口と形も違うし。結局「猫に安全かどうか」を最初に確認するようにしてから迷わなくなった。 #猫 #ノミ対策 #猫のいる暮らし,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_08
9,猫の抜け毛がひどいな、と思っていたら換毛期じゃなかった。ストレスや皮膚炎のこともある。ブラッシングしながらよく見るようにしたら、早めに気づけるようになった。 #猫 #猫の健康 #猫好きさんと繋がりたい,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_09
10,猫のフィラリアって犬だけの話だと思ってた。完全室内飼いでも蚊に刺されることはある。知らなかったでは済まないと思って、予防を始めた。 #猫 #猫の健康 #猫のいる暮らし,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_10
11,猫がご飯を残すようになった日、なんとなく嫌な予感がした。食欲不振って意外といろんな病気のサインなんだよね。様子見しすぎないことが大事だと学んだ。 #猫 #猫の病気 #猫好きさんと繋がりたい,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_11
12,猫が同じ場所ばかり舐めていて、気づいたら皮膚が赤くなっていた。アレルギーなのかストレスなのか、原因を特定するのに時間がかかった。 #猫 #猫の健康 #猫のいる暮らし,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_12
13,猫がくしゃみを連発しだした週があって、最初は「かわいい」なんて思ってたけど、続くようなら話が違う。鼻腔炎や猫風邪のことがあるって知って慌てた。 #猫 #猫の病気 #猫好きさんと繋がりたい,https://qolmedia.info/pet-lp.html?utm_source=twitter&utm_medium=social&utm_campaign=pet_lp&utm_content=pet_13
